emotion_term,target,feature,n,standardized_beta,se,t,r2,abs_beta
sad,rating_mean__sad,audio100_onset_strength_proxy,24816,0.005003884044986281,0.006348135292142208,0.7882447071334316,2.503885553051255e-05,0.005003884044986281
calm,rating_mean__calm,audio100_spectral_rolloff_hz,24816,0.15395846042004227,0.006272527041698567,24.54488587645949,0.02370320753502886,0.15395846042004227
calm,rating_mean__calm,audio100_spectral_centroid_hz,24816,0.1531295263960669,0.006273344725079538,24.409550739253508,0.02344865185440137,0.1531295263960669
calm,rating_mean__calm,audio100_spectral_bandwidth_hz,24816,0.13539085050872013,0.006289762105387413,21.525591623127887,0.018330682401566656,0.13539085050872013
calm,rating_mean__calm,midi_velocity_min,24131,-0.11232052069526899,0.006396956583408789,-17.55843098404422,0.01261589936931895,0.11232052069526899
calm,rating_mean__calm,midi_velocity_range,24131,0.11202325144563122,0.006397172613351021,17.51136919368491,0.01254920886451305,0.11202325144563122
calm,rating_mean__calm,midi_pitch_range,24131,0.0883828474084395,0.006412500717788374,13.782898635704047,0.007811527716061861,0.0883828474084395
calm,rating_mean__calm,midi_velocity_std,24131,0.08831773546788245,0.0064125378970382296,13.77266487499454,0.007800022398211759,0.08831773546788245
calm,rating_mean__calm,midi_active_note_count,24816,0.08581154174622543,0.006324798658680974,13.567474059412005,0.007363620696888784,0.08581154174622543
calm,rating_mean__calm,audio100_zero_crossing_rate,24816,0.07754179537395846,0.006329100943095801,12.251628795128399,0.006012730028373103,0.07754179537395846
calm,rating_mean__calm,midi_velocity_mean,24131,-0.07479211126770337,0.006419663096385379,-11.65047295054548,0.00559385990790795,0.07479211126770337
calm,rating_mean__calm,midi_pitch_max,24131,0.0733731125124025,0.006420341711902826,11.428225442416265,0.005383613639784013,0.0733731125124025
calm,rating_mean__calm,midi_pitch_std,24131,0.072108352327508,0.006420935550339744,11.23019406610652,0.005199614475412506,0.072108352327508
calm,rating_mean__calm,tap_count_100ms,24816,0.06574544135426649,0.006334479947943078,10.378980103210566,0.004322463058884729,0.06574544135426649
calm,rating_mean__calm,audio100_rms,24816,-0.042304782124159605,0.00634253154154429,-6.6700152518578015,0.0017896945904015693,0.042304782124159605
calm,rating_mean__calm,midi_pitch_min,24131,-0.035895303822226984,0.006433545393231424,-5.579396992273057,0.001288472836496135,0.035895303822226984
calm,rating_mean__calm,midi_pitch_mean,24131,0.01895632674993175,0.006436537355138773,2.9451125195214427,0.000359342323852041,0.01895632674993175
calm,rating_mean__calm,audio100_onset_strength_proxy,24816,-0.01681255502408685,0.006347317505688516,-2.6487654046564613,0.0002826620063794971,0.01681255502408685
calm,rating_mean__calm,midi_velocity_max,24131,-0.012135749277140093,0.00643722004935362,-1.8852469205978801,0.00014727641051826001,0.012135749277140093
calm,rating_mean__calm,midi_note_onset_count_100ms,24816,-0.002557984752812956,0.006348193998869899,-0.4029468464362273,6.54328599569709e-06,0.002557984752812956
energetic,rating_mean__energetic,audio100_spectral_bandwidth_hz,24816,-0.32369054617653586,0.006006445955514018,-53.890528362365764,0.10477556968450841,0.32369054617653586
energetic,rating_mean__energetic,audio100_rms,24816,0.23857593854863005,0.006164902732149447,38.69905964059702,0.05691847844887665,0.23857593854863005
energetic,rating_mean__energetic,audio100_spectral_centroid_hz,24816,-0.23844112389171637,0.006165112921127872,-38.67587291643947,0.056854169562985946,0.23844112389171637
energetic,rating_mean__energetic,midi_velocity_max,24131,0.22807218670139712,0.006268023711691251,36.386618359404956,0.05201692234697364,0.22807218670139712
energetic,rating_mean__energetic,midi_velocity_mean,24131,0.1959003287487626,0.006312956157115777,31.03147302819743,0.038376938804033145,0.1959003287487626
energetic,rating_mean__energetic,midi_active_note_count,24816,0.18779507898156766,0.006235268794909948,30.118201015608605,0.03526699168978453,0.18779507898156766
energetic,rating_mean__energetic,audio100_spectral_rolloff_hz,24816,-0.17878087465587586,0.006245938146063849,-28.62354228402324,0.03196260114285565,0.17878087465587586
energetic,rating_mean__energetic,midi_pitch_range,24131,0.1651251469489159,0.006349321469385047,26.006739101036896,0.027266314155014126,0.1651251469489159
energetic,rating_mean__energetic,tap_count_100ms,24816,0.16170102035694867,0.0062646709571106,25.81157437288886,0.026147219984563486,0.16170102035694867
energetic,rating_mean__energetic,midi_pitch_std,24131,0.1568538459698617,0.0063580072283804245,24.670284306227,0.02460312899563466,0.1568538459698617
energetic,rating_mean__energetic,midi_pitch_max,24131,0.14485561958099596,0.00636979449923147,22.7410192865299,0.02098315052428046,0.14485561958099596
energetic,rating_mean__energetic,midi_velocity_min,24131,0.1268474483982826,0.006385691961509626,19.86432310593801,0.016090275165222434,0.1268474483982826
energetic,rating_mean__energetic,midi_note_onset_count_100ms,24816,0.09676728006861844,0.006318422816964905,15.315100438274582,0.009363906491896445,0.09676728006861844
energetic,rating_mean__energetic,midi_velocity_range,24131,0.09378428329780064,0.006409320255787399,14.632485121723185,0.008795491793718746,0.09378428329780064
energetic,rating_mean__energetic,midi_velocity_std,24131,0.08184076731074813,0.0064160983528754,12.75553503030628,0.006697911194038508,0.08184076731074813
energetic,rating_mean__energetic,midi_pitch_min,24131,-0.06003351177529017,0.006426082858434736,-9.342162727819378,0.0036040225360888245,0.06003351177529017
energetic,rating_mean__energetic,midi_pitch_mean,24131,0.05597953539004725,0.0064275992842499335,8.709244759316155,0.003133708382498157,0.05597953539004725
energetic,rating_mean__energetic,audio100_zero_crossing_rate,24816,-0.047629948467647176,0.006341009862093251,-7.511413717374741,0.002268611990484226,0.047629948467647176
energetic,rating_mean__energetic,audio100_onset_strength_proxy,24816,0.04644554890322838,0.0063413639224516255,7.324220698241824,0.0021571890124748583,0.04644554890322838
