stim_name,window_start_s,window_end_s,window_center_s,istc_mean_max_unique_per_sec,tap_count_mean_max_per_sec,max_unique_participants_per_100ms_bin,max_tap_count_per_100ms_bin,n_participants,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
track5,32.5,33.5,33.0,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,32.75,33.75,33.25,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,33.0,34.0,33.5,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,33.25,34.25,33.75,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,33.5,34.5,34.0,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,33.75,34.75,34.25,5.0,5.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,34.0,35.0,34.5,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,34.25,35.25,34.75,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,34.5,35.5,35.0,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,34.75,35.75,35.25,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,35.0,36.0,35.5,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,35.25,36.25,35.75,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,35.5,36.5,36.0,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,35.75,36.75,36.25,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,36.0,37.0,36.5,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,36.25,37.25,36.75,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,36.5,37.5,37.0,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,36.75,37.75,37.25,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,37.0,38.0,37.5,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,37.25,38.25,37.75,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,37.5,38.5,38.0,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,37.75,38.75,38.25,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,38.0,39.0,38.5,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,38.25,39.25,38.75,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,38.5,39.5,39.0,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,38.75,39.75,39.25,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,39.0,40.0,39.5,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,39.25,40.25,39.75,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,39.5,40.5,40.0,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,39.75,40.75,40.25,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,40.0,41.0,40.5,8.0,8.0,8,8,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,40.25,41.25,40.75,5.0,5.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,40.5,41.5,41.0,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,40.75,41.75,41.25,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,41.0,42.0,41.5,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,41.25,42.25,41.75,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,41.5,42.5,42.0,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,41.75,42.75,42.25,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,42.0,43.0,42.5,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,42.25,43.25,42.75,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,42.5,43.5,43.0,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,42.75,43.75,43.25,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,43.0,44.0,43.5,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,43.25,44.25,43.75,6.0,6.0,6,6,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,43.5,44.5,44.0,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,43.75,44.75,44.25,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,44.0,45.0,44.5,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,44.25,45.25,44.75,5.0,5.0,5,5,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,44.5,45.5,45.0,4.0,4.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,44.75,45.75,45.25,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,45.0,46.0,45.5,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
track5,45.25,46.25,45.75,7.0,7.0,7,7,11,wtc2p01,wtc2p01,1,-0.3205,-0.1693
