stim_name,wtc_code,peak_index,filtered_kde_peak_s
track15,wtc1p03,8,5.525
track15,wtc1p03,9,5.99
track15,wtc1p03,10,6.565
track15,wtc1p03,11,7.07
track15,wtc1p03,12,7.69
track15,wtc1p03,13,8.09
track15,wtc1p03,14,8.55
track15,wtc1p03,15,8.94
track15,wtc1p03,16,9.405
track15,wtc1p03,17,9.865
track15,wtc1p03,18,10.305
track15,wtc1p03,19,10.725
track15,wtc1p03,20,11.155
track15,wtc1p03,21,11.71
track15,wtc1p03,22,12.485
track15,wtc1p03,23,13.07
track15,wtc1p03,24,13.66
track15,wtc1p03,25,14.215
track15,wtc1p03,26,14.665000000000001
track15,wtc1p03,27,15.135
track15,wtc1p03,28,15.715
track15,wtc1p03,29,16.385
track15,wtc1p03,30,17.05
track15,wtc1p03,31,17.66
track15,wtc1p03,32,18.22
track15,wtc1p03,33,18.95
track15,wtc1p03,34,19.64
track15,wtc1p03,35,20.315
track15,wtc1p03,36,20.935
track15,wtc1p03,37,21.595
track15,wtc1p03,38,22.2
track15,wtc1p03,39,22.86
track15,wtc1p03,40,23.32
track15,wtc1p03,41,23.785
track15,wtc1p03,42,24.21
track15,wtc1p03,43,24.64
track15,wtc1p03,44,25.535
track15,wtc1p03,45,25.955000000000002
track15,wtc1p03,46,26.43
track15,wtc1p03,47,26.88
track15,wtc1p03,48,27.330000000000002
track15,wtc1p03,49,27.79
track15,wtc1p03,50,28.205000000000002
track15,wtc1p03,51,28.6
track15,wtc1p03,52,29.060000000000002
track15,wtc1p03,53,29.505
track15,wtc1p03,54,29.93
track16,wtc1f05,1,0.275
track16,wtc1f05,2,1.02
track16,wtc1f05,3,2.81
track16,wtc1f05,4,3.235
track16,wtc1f05,5,3.845
track16,wtc1f05,6,4.235
track16,wtc1f05,7,4.91
track16,wtc1f05,8,5.4
track16,wtc1f05,9,5.9
track16,wtc1f05,10,6.335
track16,wtc1f05,11,6.775
track16,wtc1f05,12,7.195
track16,wtc1f05,13,7.6850000000000005
track16,wtc1f05,14,8.185
track16,wtc1f05,15,8.700000000000001
track16,wtc1f05,16,9.245000000000001
track16,wtc1f05,17,9.72
track16,wtc1f05,18,10.235
track16,wtc1f05,19,10.705
track16,wtc1f05,20,11.24
track16,wtc1f05,21,11.67
track16,wtc1f05,22,12.15
track16,wtc1f05,23,12.525
track16,wtc1f05,24,13.065
track16,wtc1f05,25,13.540000000000001
track16,wtc1f05,26,13.995000000000001
track16,wtc1f05,27,14.395
track16,wtc1f05,28,14.83
track16,wtc1f05,29,15.285
track16,wtc1f05,30,15.765
track16,wtc1f05,31,16.245
track16,wtc1f05,32,16.73
track16,wtc1f05,33,17.185
track16,wtc1f05,34,17.650000000000002
track16,wtc1f05,35,18.080000000000002
track16,wtc1f05,36,18.525000000000002
track16,wtc1f05,37,19.0
track16,wtc1f05,38,19.490000000000002
track16,wtc1f05,39,19.955000000000002
track16,wtc1f05,40,20.455000000000002
track16,wtc1f05,41,20.93
track16,wtc1f05,42,21.400000000000002
track16,wtc1f05,43,21.835
track16,wtc1f05,44,22.295
track16,wtc1f05,45,22.735
track16,wtc1f05,46,23.215
track16,wtc1f05,47,23.650000000000002
track16,wtc1f05,48,24.125
track16,wtc1f05,49,24.575
track16,wtc1f05,50,25.395
track16,wtc1f05,51,25.85
track16,wtc1f05,52,26.355
track16,wtc1f05,53,26.875
track16,wtc1f05,54,27.39
track16,wtc1f05,55,27.86
track16,wtc1f05,56,28.325
track16,wtc1f05,57,28.810000000000002
track16,wtc1f05,58,29.25
track16,wtc1f05,59,29.7
track17,wtc2f07,1,0.38
