stim_name,wtc_code,window_start_s,window_end_s,window_center_s,source_audio_path,mir_rms,mir_lowenergy,mir_brightness,mir_roughness,mir_centroid
track1,wtc1p15,8.5,9.5,9,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0131738990690275,NaN,0.13809688166484,19420.0171611968,1139.59964021524
track1,wtc1p15,8.75,9.75,9.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0137405258491415,NaN,0.146482062079774,20251.2286426333,1165.52293034747
track1,wtc1p15,9,10,9.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0135759210778743,NaN,0.139780485190153,15702.1003545074,1122.80945915497
track1,wtc1p15,9.25,10.25,9.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0152881192722163,NaN,0.12605609676679,24428.594864314,1092.61763251564
track1,wtc1p15,9.5,10.5,10,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.019224846024238,NaN,0.124424028151586,53858.4438686658,1084.60136355537
track1,wtc1p15,9.75,10.75,10.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0204144377928963,NaN,0.145987542298261,60762.2885971461,1033.16052376068
track1,wtc1p15,10,11,10.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.021924819491885,NaN,0.162317249605042,86283.5330830977,1050.78486469692
track1,wtc1p15,10.25,11.25,10.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.022231838329329,NaN,0.170517625564036,62126.4568484848,1111.8696449733
track1,wtc1p15,10.5,11.5,11,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0191768031518869,NaN,0.163091230790818,37743.329760353,1145.91095002175
track1,wtc1p15,10.75,11.75,11.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.018123912995163,NaN,0.157447132460114,31837.3741969622,1143.01118380297
track1,wtc1p15,11,12,11.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0170093622947434,NaN,0.146613660657585,32734.3124028693,1105.91880455701
track1,wtc1p15,11.25,12.25,11.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0183380875826905,NaN,0.130550736734832,55951.5010988587,1030.07596542902
track1,wtc1p15,11.5,12.5,12,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0188043209961822,NaN,0.123491513174569,53157.384287579,1009.60863872115
track1,wtc1p15,11.75,12.75,12.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0185002294361747,NaN,0.140297214608439,58847.5796439501,1082.18914524859
track1,wtc1p15,12,13,12.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.023459487497775,NaN,0.17354689482234,42833.174223391,1150.33981479621
track1,wtc1p15,12.25,13.25,12.75,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.035552107943503,NaN,0.1986159178377,57989.9443903107,1184.02750727827
track1,wtc1p15,12.5,13.5,13,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0384116437691655,NaN,0.202708685390051,162264.098398347,1234.89178488404
track1,wtc1p15,12.75,13.75,13.25,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0389536946707016,NaN,0.21622981442156,191180.860560351,1271.54280642767
track1,wtc1p15,13,14,13.5,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alignment/beta_midi_sync_draft/aligned_audio_t0/track1/01_deployed_t0.wav,0.0360759986763631,NaN,0.214596592070654,83291.2073412022,1236.60574766178
