target,feature,n_tracks,pearson_r,pearson_p_approx,spearman_r,spearman_p_approx,abs_pearson_r
istc_mean_max_unique_per_sec,rhythm_tempo_Std,24,-0.29733959680396543,0.17301453417608673,-0.348695652173913,0.11005984299244198,0.29733959680396543
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_3,24,0.28899418807332,0.185390901126519,0.34434782608695647,0.11456561475744236,0.28899418807332
istc_mean_max_unique_per_sec,tonal_mode_Std,24,-0.2831576402484717,0.19442780641344184,-0.23739130434782607,0.27665531792571435,0.2831576402484717
max_tap_count_per_100ms_bin,Mel_subband_amplitude_std_14,24,-0.5675950057019499,0.00929396988808088,-0.4970877296118657,0.022730024655809474,0.5675950057019499
max_tap_count_per_100ms_bin,Mel_subband_amplitude_std_12,24,-0.5516602398359419,0.011470624686607147,-0.5078330470752801,0.01995550728501348,0.5516602398359419
max_tap_count_per_100ms_bin,spectral_mfcc_Mean_13,24,-0.5449269235348332,0.012518932191737086,-0.5671658869819595,0.009347382047109404,0.5449269235348332
max_tap_count_per_100ms_bin,Mel_subband_amplitude_std_13,24,-0.5346538643044642,0.014281979592055318,-0.46531896493742314,0.032977314055349274,0.5346538643044642
max_tap_count_per_100ms_bin,Mel_subband_amplitude_mean_14,24,-0.490404434788344,0.024619874586852518,-0.4251408213785693,0.05138625328334575,0.490404434788344
max_tap_count_per_100ms_bin,Mel_subband_amplitude_mean_12,24,-0.4807015927894375,0.02760522149014539,-0.44569708087379684,0.04110784491452228,0.4807015927894375
max_tap_count_per_100ms_bin,Mel_subband_amplitude_std_3,24,0.44877383536751514,0.039730488041451066,0.4480330194527999,0.04005849486966228,0.44877383536751514
max_tap_count_per_100ms_bin,spectral_ddmfcc_Mean_6,24,-0.4407342494751378,0.04341471650824252,-0.280779817196176,0.19820069813556304,0.4407342494751378
tap_count_mean_max_per_sec,Mel_subband_amplitude_mean_7,24,-0.46670227351725196,0.03246009456163737,-0.29478260869565215,0.17673912450687349,0.46670227351725196
tap_count_mean_max_per_sec,spectral_ddmfcc_Mean_6,24,-0.343568178783567,0.11538872296373869,-0.33304347826086955,0.12696082311733842,0.343568178783567
tap_count_mean_max_per_sec,spectral_mfcc_Std_6,24,-0.3338088659071554,0.12608991510948755,-0.34434782608695647,0.11456561475744236,0.3338088659071554
tap_count_mean_max_per_sec,spectral_irregularity_Mean,24,0.3231935318519752,0.13859089904529653,0.36695652173913035,0.09264525906774888,0.3231935318519752
tap_count_mean_max_per_sec,Mel_subband_amplitude_std_14,24,-0.300808538896328,0.16805578681923028,-0.41826086956521735,0.055274517830025245,0.300808538896328
tap_count_mean_max_per_sec,rhythm_tempo_Std,24,-0.29640192140085647,0.17437350882238734,-0.348695652173913,0.11005984299244198,0.29640192140085647
tap_count_mean_max_per_sec,Mel_subband_amplitude_std_3,24,0.29369390317653593,0.17834298017004,0.35826086956521735,0.1006402589547824,0.29369390317653593
tap_count_mean_max_per_sec,tonal_mode_Std,24,-0.28463833001123784,0.19210517786962922,-0.23739130434782607,0.27665531792571435,0.28463833001123784
