target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
tap_density_per_s,midi_velocity_max,24131,0.014280757048004137,0.026528030234132863,0.005727773638832136,0.37361491279601133,0.37361491279601133,0.005727773638832136
unique_tapper_count_100ms,midi_note_onset_count_100ms,24816,0.06652887986722877,9.456207325787651e-26,0.09605322074110263,5.968850554831085e-52,4.476637916123314e-51,0.09605322074110263
unique_tapper_count_100ms,midi_note_onset_density_per_s,24816,0.06652887986722879,9.456207325787651e-26,0.09605322074110263,5.968850554831085e-52,4.476637916123314e-51,0.09605322074110263
unique_tapper_count_100ms,midi_velocity_range,24131,-0.06841244440881931,1.957802885365667e-26,-0.07635356606213022,1.5473119941521943e-32,4.132782678741589e-32,0.07635356606213022
unique_tapper_count_100ms,midi_dynamic_range,24131,-0.06841244440881931,1.957802885365667e-26,-0.07635356606213022,1.5473119941521943e-32,4.132782678741589e-32,0.07635356606213022
unique_tapper_count_100ms,midi_velocity_min,24131,0.07377262971639127,1.761787490031629e-30,0.0760973004060102,2.4940911406864076e-32,5.344481015756587e-32,0.0760973004060102
unique_tapper_count_100ms,midi_active_note_count,24816,-0.06353322268195302,1.269628423180221e-23,-0.0752603558366375,1.6531130714966355e-32,4.132782678741589e-32,0.0752603558366375
unique_tapper_count_100ms,midi_active_note_density_per_s,24816,-0.06353322268195304,1.269628423180221e-23,-0.0752603558366375,1.6531130714966355e-32,4.132782678741589e-32,0.0752603558366375
unique_tapper_count_100ms,midi_pitch_min,24131,0.061245657937921444,1.6915530643677902e-21,0.07368293945140737,2.0708446707442017e-30,3.882833757645378e-30,0.07368293945140737
unique_tapper_count_100ms,midi_velocity_std,24131,-0.04810554486621041,7.619372813811373e-14,-0.05814681992581309,1.5696110209710413e-19,2.6160183682850686e-19,0.05814681992581309
unique_tapper_count_100ms,midi_pitch_range,24131,-0.045600727217215045,1.3704286607026249e-12,-0.056117302190010265,2.6908438660380913e-18,4.0362657990571366e-18,0.056117302190010265
unique_tapper_count_100ms,midi_velocity_mean,24131,0.05458652639244733,2.148977445777847e-17,0.05123679997536052,1.665343814191746e-15,2.2709233829887447e-15,0.05123679997536052
unique_tapper_count_100ms,midi_pitch_mean,24131,0.040039673987788946,4.908629787118628e-10,0.04587074682434749,1.010885337568178e-12,1.2636066719602227e-12,0.04587074682434749
unique_tapper_count_100ms,midi_pitch_std,24131,-0.014156177969192208,0.027875147874866953,-0.02306138816407551,0.00034008342418129315,0.0003924039509784152,0.02306138816407551
unique_tapper_count_100ms,midi_pitch_max,24131,0.009034273683297882,0.1605112740464922,0.015266593291482446,0.017713565998178818,0.01897882071233445,0.015266593291482446
unique_tapper_count_100ms,midi_velocity_max,24131,0.014399533495284252,0.025296402355063242,0.005818062491350155,0.3661291843849126,0.37361491279601133,0.005818062491350155
