target,feature_group,feature,n,pearson_r,pearson_p_approx,spearman_r,spearman_p_approx,within_track_pearson_r,within_track_p_approx,within_piece_pearson_r,within_piece_p_approx,usable_feature,abs_within_track_r
istc_mean_max_unique_per_sec,register_duration,mtb_pitch_std,9509,0.1506764183094831,7.388310127710914e-49,0.1302444027164724,6.0149048961851885e-37,0.1937579030722687,1.348826173313148e-79,0.1850978077678604,8.359751561896217e-73,True,0.1937579030722687
istc_mean_max_unique_per_sec,register_duration,mtb_ioi_mean_s,9362,-0.2212864794684077,1.1331516790846162e-101,-0.1432931557312126,1.0695167429303214e-43,-0.1812173279111389,8.263881756999841e-69,-0.1719360831116947,3.990955541145749e-62,True,0.1812173279111389
istc_mean_max_unique_per_sec,acoustic_energy_salience,onset_strength_mean,9837,0.159102858111628,4.4319584919449065e-56,0.1627750816217318,1.2962001599117526e-58,0.1809013007190629,5.812729473674223e-72,0.1910595478908457,4.700534678403388e-80,True,0.1809013007190629
istc_mean_max_unique_per_sec,register_duration,mean_midi_ioi_s,9390,-0.2161800822922587,2.0866864293071562e-97,-0.1385574679947351,4.353730368750291e-41,-0.1759589600411077,3.613694837195424e-65,-0.1658515041050189,4.223368072947607e-58,True,0.1759589600411077
istc_mean_max_unique_per_sec,register_duration,std_pitch,9390,0.1209368143821679,1.041178352469369e-31,0.1075600260588934,1.9860499778940576e-25,0.1671277630401688,5.703179970557061e-59,0.1561958518784834,9.771028071800926e-52,True,0.1671277630401688
istc_mean_max_unique_per_sec,timbre_spectrum,mir_roughness,9837,0.1775645271219359,2.1214823478971867e-69,0.2340495099146599,3.619062142545449e-119,0.1612131277118273,1.5756871268233499e-57,0.1647972614752955,4.9297168988885113e-60,True,0.1612131277118273
istc_mean_max_unique_per_sec,timbre_spectrum,mir_brightness,9835,-0.0771233938913238,2.0527289239679143e-14,-0.0181021936111411,0.0726618081152883,-0.1468966087044705,4.6389904025925984e-48,-0.1336651470624717,4.291492820764936e-40,True,0.1468966087044705
istc_mean_max_unique_per_sec,symbolic_density_complexity,mtb_approx_polyphony,9718,-0.2363986919261947,4.375057233584484e-120,-0.1894561148086295,8.106179703388356e-78,-0.1423652522910277,9.904742761744514e-45,-0.1485893916358504,1.4358155336788067e-48,True,0.1423652522910277
istc_mean_max_unique_per_sec,register_duration,mtb_duration_mean_s,9509,-0.2204800744591752,1.6779279381848806e-102,-0.179022293208421,3.1846293534518988e-68,-0.102057288406884,2.5103337777003166e-23,-0.1136915110808139,1.4872124332897703e-28,True,0.102057288406884
istc_mean_max_unique_per_sec,symbolic_density_complexity,mtb_ioi_cv,9158,0.0980838133529509,6.3016641557047155e-21,0.0934488097430053,3.8445518236393915e-19,0.093935981887897,2.518605923142543e-19,0.1001561014909416,9.41635867201813e-22,True,0.093935981887897
istc_mean_max_unique_per_sec,symbolic_density_complexity,cv_midi_ioi,9184,0.096575562447283,2.16990484976253e-20,0.0928202893205624,5.904792537798824e-19,0.0918593907741379,1.3471052804318597e-18,0.0979113379524813,6.4964871632786504e-21,True,0.0918593907741379
istc_mean_max_unique_per_sec,register_duration,mean_note_duration_s,9512,-0.2213789885547692,2.3503477357420924e-103,-0.179538317989216,1.2555064341640155e-68,-0.0916831809108953,3.8775363798597937e-19,-0.1031392577315934,8.510501293764116e-24,True,0.0916831809108953
istc_mean_max_unique_per_sec,symbolic_density_complexity,approx_polyphony,9512,-0.207271237516893,7.697802417249835e-91,-0.1766721338814723,1.6364572316674457e-66,-0.0677606862713025,3.905411490111063e-11,-0.0847327378357964,1.4248928897483032e-16,True,0.0677606862713025
istc_mean_max_unique_per_sec,register_duration,mtb_pitch_mean,9509,-0.0268526679111646,0.0088420708853033,-0.0165264095335709,0.1071135356435753,-0.0051267064488782,0.6171825980665722,-0.00510327920571,0.6187919612412953,True,0.0051267064488782
istc_mean_max_unique_per_sec,register_duration,mean_pitch,9512,-0.0246855312105022,0.0160759184157215,-0.0137505526463637,0.1799617589353855,-0.0038963350140654,0.7039843063692603,-0.0034633997818467,0.7355664253575702,True,0.0038963350140654
istc_mean_max_unique_per_sec,timbre_spectrum,zero_crossing_rate_mean,9837,0.004393922430825,0.6630326182241999,0.0540095132301338,8.511471456047373e-08,-0.0004172907729963,0.9669919391632752,-0.0046760695089429,0.642855838779355,True,0.0004172907729963
istc_mean_max_unique_per_sec,acoustic_energy_salience,mir_lowenergy,24,0.2275408040337811,0.2970766217367456,0.1471057410385356,0.5002329950754631,,,0.082523013692697,0.7053058277442732,True,
