participant_id,trial_id,stim_name,wtc_code,emotion_term,trial_mean_rating,trial_sd_rating,trial_min_rating,trial_max_rating,trial_final_rating,n_samples,completed_audio,audio_duration_s,response_duration_s,missed_sample_count,familiarity,enjoyment,playback_difficulty,trial_order,istc_mean_max_unique_per_sec,mean_tap_count_per_100ms_bin,mean_unique_participants_per_100ms_bin,tapping_study_n_participants,duration_s,simple_lowenergy_Mean,simple_brightness_Mean,simple_roughness_Mean,simple_centroid_Mean,rhythm_tempo_Mean,dynamics_rms_Mean,notedensity_per_s,pitch_mean,pitch_std,ioi_mean_s,ioi_cv,beta_perf,beta_score
24,219,track4,wtc2f06,happy,1.2737068965517242,0.4463415580864199,1.0,2.0,1.0,464,True,117.58119999998809,121.163,0.0,,,,2.0,6.310924369747899,1.9564489112227803,1.9556113902847572,11,115.588895833333,0.548247511899611,0.13921928674826,577.725350736037,888.42808617413,123.883915101728,0.877429340471768,7.16077664478289,61.8129675810474,10.1837025032943,0.139649656679149,0.897374650732673,-0.9994,-0.9258
24,224,track24,wtc1p17,happy,3.7906976744186047,0.7655367474053137,1.0,4.0,4.0,301,True,76.0795,78.01680000001193,0.0,,,,3.0,6.87012987012987,2.0870406189555126,2.0870406189555126,11,74.9687708333333,0.57691024357691,0.153547895470363,348.095837686728,955.447199921652,113.100983541648,0.893241188017094,9.34767545212138,62.3779761904762,9.63042821539888,0.106978468082464,0.893713562430838,-1.0328,-0.9849
24,228,track23,wtc1p03,happy,3.744027303754266,0.8395245877867581,1.0,4.0,4.0,293,True,73.96570000001788,75.85709999999403,0.0,,,,4.0,6.108108108108108,2.5023348899266176,2.4903268845897264,11,72.9797916666667,0.547292666209733,0.0987102797719146,362.7451839569,862.159367787307,128.465824056335,0.918447017505214,11.6573229764719,65.8382716049383,10.0228301555316,0.0857829882571076,0.574507290487869,-1.1204,-1.2469
24,232,track20,wtc2p24,happy,2.549808429118774,0.6336758388927073,1.0,3.0,2.0,522,True,131.4605,132.41759999999405,0.0,,,,5.0,8.092307692307692,2.5017182130584192,2.4990454371897672,12,130.401520833333,0.543624161073825,0.10723986271948,514.276701417101,842.748080238012,117.337631892261,0.924875317629147,6.90321122593636,62.4235159817352,9.00830572754317,0.144860119047619,0.879273275163003,-0.44,-0.3163
24,237,track18,wtc2p01,happy,2.0276338514680483,0.5384166495760295,1.0,3.0,2.0,579,True,145.39260000002383,146.8387000000179,0.0,,,,6.0,6.8493150684931505,1.7416382252559728,1.7416382252559728,10,144.397875,0.58468998960859,0.241899179416088,303.735907109027,1255.73408653542,108.418812884376,0.888473141589252,5.95376540222614,61.8776978417266,10.5549226796285,0.167960934373749,0.721034277903633,-0.2781,-0.1693
24,241,track17,wtc2f07,happy,1.744541484716157,0.4365955263585542,1.0,2.0,2.0,458,True,116.207,117.215,0.0,,,,7.0,6.155172413793103,1.5387912558936991,1.5383626232318903,12,114.201104166667,0.569739435077732,0.141491615004114,350.218231276185,946.50228563803,132.744514994658,0.853485756679423,6.32840041654336,62.5817655571635,8.923355631088,0.15801781400966,1.16017808589658,-0.7004,-0.9718
24,246,track21,wtc1f05,happy,1.9616087751371116,0.6024884056122697,1.0,3.0,3.0,547,True,138.38119999998807,139.53390000000596,0.0,,,,8.0,5.618705035971223,1.9470293486041517,1.9463135289906943,13,136.402333333333,0.5974335472044,0.169801432700266,404.670456123329,1043.17366770034,118.871133629973,0.827858830694277,6.09572676982294,62.2900378310214,11.3754393465417,0.164049347643094,1.56532396539124,-0.539,-0.6812
24,252,track3,wtc2f06,happy,1.1327800829875518,0.33968945916371457,1.0,2.0,1.0,482,True,122.05359999999403,123.35419999998808,0.0,,,,9.0,8.14516129032258,3.008814102564102,2.983173076923077,12,120.055354166667,0.565090606123724,0.133373697745795,515.822375848789,910.200368991156,121.728712722755,0.870161955501223,6.90616351294095,61.811013767209,10.1831882116528,0.144798193400167,0.894308003000556,-1.0934,-0.9258
24,256,track1,wtc1p15,happy,3.0869565217391304,0.8138210920989488,1.0,4.0,3.0,207,True,52.70829999998212,54.48209999999404,0.0,,,,10.0,5.622641509433962,2.5419776119402986,2.541044776119403,11,51.6315,0.539728682170543,0.193816587729097,169.656858023745,1125.76869675832,148.514903024648,0.871966536041874,12.5624541477597,62.6384742951907,10.2690700485348,0.0796022805924695,0.652187943634647,-0.2186,-0.2511
24,258,track14,wtc1p17,happy,3.7651245551601424,0.8073285325260131,1.0,4.0,4.0,281,True,70.871,71.76890000000596,0.0,,,,11.0,7.726027397260274,2.5159755268524813,2.507817811012917,12,69.8735625,0.531686358754028,0.214418024478562,415.161648716329,1122.82423516138,113.846084341664,0.867739341842776,10.2490566037736,62.3029411764706,9.64125234912813,0.0975699558173785,0.889957659111444,-0.9336,-0.9849
