trial_row,stim_name,alignment_offset_s,usable,n_taps,mean_ioi_s,perceived_tempo_bpm,sd_ioi_s,trial_cv_ioi_pct,median_ioi_s,first_tap_s,last_tap_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
85,track17,1.99295833333333,True,67,1.5491838842975203,38.73006981815272,0.2883225428430716,18.61125369076582,1.5197727272727306,8.033859848484852,110.2799962121212,wtc2f07,wtc2f07,2,-0.7004,-0.9718
86,track11,1.08329166666667,True,37,1.285284090909091,46.68228637107112,0.078222682143807,6.0860227475841215,1.2917045454545444,3.672390151515148,49.94261742424243,wtc1p15,wtc1p15,3,-0.2187,-0.2511
87,track9,1.972,True,200,0.6911375057103699,86.81340471941306,0.1939134305665237,28.057141880502375,0.6565909090909088,6.565727272727273,144.1020909090909,wtc1f03,wtc1p03,3,-0.6237,-0.6974
88,track6,0.986625,True,129,1.1160511363636365,53.76097747231768,0.2943310780347597,26.37254409271616,1.201704545454554,7.827238636363637,150.68178409090908,wtc1p04,wtc1p04,2,-0.2648,-0.5101
89,track10,0.9642708333333329,True,99,0.763538961038961,78.58145171578008,0.1461847700921719,19.145685754300704,0.7435227272727296,4.891865530303031,79.71868371212122,wtc1p03,wtc1p03,3,-1.2481,-1.2469
90,track14,0.988395833333333,True,135,0.4999304613297151,120.01669160229204,0.2149937412792166,43.004729239217845,0.4970454545454528,4.119104166666667,71.1097859848485,wtc1p17,wtc1p17,1,-0.9336,-0.9849
91,track24,1.09241666666667,True,55,1.2052272727272728,49.7831416179521,0.7853651589361033,65.16324154853581,1.08511363636363,8.187810606060602,73.27008333333333,wtc1p17,wtc1p17,1,-1.0328,-0.9849
92,track13,1.01952083333333,True,38,1.1812223587223587,50.794839394081215,0.2763499265156247,23.39525022321217,1.274318181818181,4.501160984848488,48.20638825757576,wtc1p15,wtc1p15,2,-0.417,-0.2511
93,track20,1.0476875,True,122,1.0482870022539443,57.23623384721237,0.5893945195340601,56.224537580528064,0.9368181818181788,4.364585227272728,131.2073125,wtc2p24,wtc2p24,1,-0.44,-0.3163
94,track22,2.03095833333333,True,66,1.343171328671329,44.670399612648275,0.7262437849911009,54.06933348625782,1.2190909090909088,5.449268939393942,92.75540530303032,wtc2f07,wtc2f07,2,-0.8852,-0.9718
95,track8,1.97,True,107,1.1735313036020585,51.12773712625722,0.3134401672787379,26.70914412906234,1.1382954545454602,5.857954545454546,130.25227272727273,wtc1f03,wtc1p03,3,-0.6684,-0.6974
96,track21,1.95889583333333,True,97,1.2968607954545452,46.26556698320903,0.2740743552185265,21.13367573290427,1.238522727272727,8.462695075757578,132.96133143939392,wtc1f05,wtc1f05,3,-0.539,-0.6812
97,track2,0.9949583333333328,True,149,0.3468151105651105,173.0028426449882,0.3653075254807705,105.33206724629956,0.2986363636363638,1.0300416666666663,52.35867803030303,wtc1p15,wtc1p15,3,-0.3972,-0.2511
98,track18,0.9896041666666668,True,128,1.1268682891911237,53.244909432200416,0.4317538333172142,38.314489586634046,1.0411363636363689,2.6594867424242414,145.77175946969697,wtc2p01,wtc2p01,1,-0.2781,-0.1693
99,track8,1.97,True,229,0.5557894736842105,107.95454545454544,0.1814233052063937,32.6424507473625,0.5604545454545455,4.58159090909091,131.30159090909092,wtc1f03,wtc1p03,3,-0.6684,-0.6974
100,track9,1.972,True,439,0.3188900996264009,188.15259573844915,0.0743578639612997,23.317708529808375,0.3231818181818227,5.913227272727273,145.5870909090909,wtc1f03,wtc1p03,3,-0.6237,-0.6974
101,track12,0.9890625,True,204,0.7605564263322886,78.88961018887754,0.5052571367255877,66.43256426905002,0.6402272727272731,2.8216193181818188,157.2145738636364,wtc1p04,wtc1p04,2,-0.3545,-0.5101
102,track15,0.99075,True,148,0.4646799628942485,129.12112591705346,0.1537900066709829,33.09589802691412,0.4459090909090903,3.2944772727272724,71.60243181818181,wtc1p03,wtc1p03,2,-1.0295,-1.2469
103,track4,1.97366666666667,True,209,0.5319755244755245,112.78714384304445,0.090640771554104,17.038522898862116,0.5215909090909179,3.684060606060603,114.3349696969697,wtc2f06,wtc2f06,1,-0.9994,-0.9258
104,track10,0.9642708333333329,True,311,0.253966275659824,236.2518403048411,0.0641215985769874,25.248076111835932,0.2393181818181786,2.854592803030304,81.58413825757576,wtc1p03,wtc1p03,3,-1.2481,-1.2469
105,track17,1.99295833333333,True,137,0.7798295454545453,76.93989071038253,0.1011204022134091,12.96698782481604,0.7690909090909077,4.071814393939398,110.12863257575756,wtc2f07,wtc2f07,2,-0.7004,-0.9718
106,track20,1.0476875,True,255,0.4887186828919113,122.77001493980136,0.189795145900482,38.83525482950661,0.4643181818181805,4.002539772727273,128.1370852272727,wtc2p24,wtc2p24,1,-0.44,-0.3163
107,track13,1.01952083333333,True,153,0.2969946172248803,202.02386346473344,0.0589886764263535,19.86186718720497,0.3119318181818187,3.505024621212124,48.64820643939394,wtc1p15,wtc1p15,2,-0.417,-0.2511
108,track3,1.98908333333333,True,197,0.5801681354359927,103.41829606844983,0.3070505162509629,52.92440199602076,0.5359090909090973,3.398643939393943,117.11159848484849,wtc2f06,wtc2f06,1,-1.0934,-0.9258
109,track22,2.03095833333333,True,141,0.5934448051948052,101.10460058758842,0.1098292313937633,18.50706762151379,0.6126136363636405,8.728132575757577,91.81040530303032,wtc2f07,wtc2f07,2,-0.8852,-0.9718
110,track24,1.09241666666667,True,137,0.5252306149732621,114.23553442910868,0.0911672554229392,17.357566909457532,0.5461363636363714,5.403946969696966,76.83531060606062,wtc1p17,wtc1p17,1,-1.0328,-0.9849
111,track23,0.974604166666667,True,159,0.4518901035673188,132.77564506579574,0.0522463434373027,11.561736587028289,0.4438636363636377,3.339259469696969,74.73789583333334,wtc1p03,wtc1p03,3,-1.1204,-1.2469
112,track5,0.9955208333333329,True,355,0.4105296610169492,146.15265520978477,0.1790451913122919,43.61321685472559,0.3109090909090994,7.241524621212121,152.56902462121212,wtc2p01,wtc2p01,1,-0.3205,-0.1693
113,track19,1.03791666666667,True,309,0.2182792207792208,274.8772869254796,0.0476330086865281,21.822053659751084,0.2106818181818182,2.778901515151512,70.00890151515152,wtc1p03,wtc1p03,2,-1.3369,-1.2469
114,track18,0.9896041666666668,True,262,0.5553996865203761,108.03030944418578,0.1853199807640922,33.36695811355907,0.5215909090909108,0.9597140151515148,145.91903219696968,wtc2p01,wtc2p01,1,-0.2781,-0.1693
115,track14,0.988395833333333,True,177,0.3810240185950413,157.47038788063648,0.1383870869361467,36.319780429177314,0.4602272727272769,4.117058712121214,71.1772859848485,wtc1p17,wtc1p17,1,-0.9336,-0.9849
116,track2,0.9949583333333328,True,135,0.3236244911804613,185.4000597456095,0.1005002336276345,31.05458219835191,0.3068181818181799,7.006859848484849,50.37254166666667,wtc1p15,wtc1p15,3,-0.3972,-0.2511
117,track6,0.986625,True,249,0.618057184750733,97.07839578662684,0.1456563597376695,23.566809565754635,0.5972727272727347,1.7031477272727271,154.9813295454545,wtc1p04,wtc1p04,2,-0.2648,-0.5101
118,track7,1.050375,True,332,0.4297926393847843,139.60220464893365,0.1826204067030988,42.49035231606248,0.4929545454545376,6.024852272727272,148.28621590909088,wtc2p24,wtc2p24,1,-0.5012,-0.3163
119,track12,0.9890625,True,240,0.6431456827691139,93.29146040701902,0.081081820763943,12.607069119214012,0.6320454545454766,3.4209375,157.1327556818182,wtc1p04,wtc1p04,2,-0.3545,-0.5101
120,track16,1.222125,True,211,0.4881818181818182,122.90502793296088,0.0817139669040974,16.738428974768553,0.4776136363636354,3.869011363636364,106.3871931818182,wtc1f05,wtc1f05,3,-0.5387,-0.6812
121,track1,1.06510416666667,True,115,0.4492643540669856,133.55165941131835,0.0931270432509419,20.728785270388187,0.439772727272727,1.7842140151515125,53.00035037878787,wtc1p15,wtc1p15,2,-0.2186,-0.2511
122,track11,1.08329166666667,True,108,0.4564804587935429,131.44045674721164,0.0404603794009509,8.863551247710781,0.45409090909091,1.7005719696969666,50.54398106060606,wtc1p15,wtc1p15,3,-0.2187,-0.2511
123,track21,1.95889583333333,True,223,0.6193120393120393,96.8816948345632,0.0936792212380763,15.126336207211407,0.6156818181818196,0.0661041666666695,137.55337689393937,wtc1f05,wtc1f05,3,-0.539,-0.6812
124,track19,1.03791666666667,True,165,0.4299445676274945,139.55287382996826,0.0973608518737585,22.64497779586142,0.4213636363636404,1.1486742424242395,71.65958333333333,wtc1p03,wtc1p03,2,-1.3369,-1.2469
125,track15,0.99075,True,163,0.4434722222222222,135.29595991230818,0.036007834149923,8.119524142795054,0.4397727272727252,1.6847045454545453,73.52720454545454,wtc1p03,wtc1p03,2,-1.0295,-1.2469
126,track20,1.0476875,True,273,0.4812007018716577,124.68809743341303,0.063771868959488,13.252655017219148,0.4684090909090912,1.1307215909090906,132.0173125,wtc2p24,wtc2p24,1,-0.44,-0.3163
127,track10,0.9642708333333329,True,289,0.271903409090909,220.66659701180657,0.1063296824231709,39.105681969445385,0.2444318181818232,2.53345643939394,80.84163825757575,wtc1p03,wtc1p03,3,-1.2481,-1.2469
128,track12,0.9890625,True,152,1.017430764599639,58.972071700240086,0.6408551207629625,62.987590218499065,0.6811363636363978,3.4659375,157.09798295454547,wtc1p04,wtc1p04,2,-0.3545,-0.5101
129,track10,0.9642708333333329,True,196,0.4142727272727273,144.83212639894666,0.2636391233333239,63.63902472386576,0.2761363636363683,2.388229166666667,83.17141098484849,wtc1p03,wtc1p03,3,-1.2481,-1.2469
130,track22,2.03095833333333,True,125,0.7107294721407625,84.42030667347474,0.3263045305216356,45.91121422596781,0.6269318181818164,-0.4498219696969663,87.68063257575758,wtc2f07,wtc2f07,2,-0.8852,-0.9718
131,track8,1.97,True,194,0.642230334432407,93.42442544858466,0.3301958166191776,51.413924088621485,0.6074999999999999,3.0720454545454556,127.0225,wtc1f03,wtc1p03,3,-0.6684,-0.6974
132,track3,1.98908333333333,True,200,0.5801690269529466,103.41813715068622,0.1650320099330484,28.44550506251568,0.5440909090908974,2.251143939393942,117.7047803030303,wtc2f06,wtc2f06,1,-1.0934,-0.9258
133,track6,0.986625,True,203,0.7599066156615661,78.95707020232305,0.4118088598741578,54.192035098370816,0.5952272727272927,2.8117840909090908,156.31292045454543,wtc1p04,wtc1p04,2,-0.2648,-0.5101
134,track16,1.222125,True,142,0.7532785299806577,79.65181219427646,0.3786168078099158,50.2625247821198,0.8713636363636255,2.7685568181818185,108.98082954545454,wtc1f05,wtc1f05,3,-0.5387,-0.6812
135,track15,0.99075,True,152,0.4651986754966887,128.97715139867606,0.1716166854101942,36.89105202781596,0.441818181818185,2.367886363636363,72.61288636363636,wtc1p03,wtc1p03,2,-1.0295,-1.2469
136,track7,1.050375,True,137,1.0531233288770054,56.97338417522362,0.1807714482309182,17.165268613286084,1.0073863636363605,3.543715909090909,146.76848863636366,wtc2p24,wtc2p24,1,-0.5012,-0.3163
137,track21,1.95889583333333,True,247,0.5599972283813747,107.14338742965748,0.330602318148404,59.036420430862215,0.3998863636363623,0.1990587121212157,137.9583768939394,wtc1f05,wtc1f05,3,-0.539,-0.6812
