emotion_term,target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,spearman_fdr_q,abs_spearman_rho
sad,rating_mean__sad,midi_active_note_count,24816,0.38284947062060604,0.0,0.37582495415019934,0.0,0.0,0.37582495415019934
sad,rating_mean__sad,midi_velocity_range,24131,0.33200081936514747,0.0,0.35201866293782313,0.0,0.0,0.35201866293782313
sad,rating_mean__sad,midi_velocity_min,24131,-0.3352052294592691,0.0,-0.3484039801136082,0.0,0.0,0.3484039801136082
sad,rating_mean__sad,midi_velocity_std,24131,0.2678883112455585,0.0,0.2927714009248655,0.0,0.0,0.2927714009248655
sad,rating_mean__sad,midi_pitch_range,24131,0.2982901557333014,0.0,0.28842046322880327,0.0,0.0,0.28842046322880327
sad,rating_mean__sad,midi_pitch_min,24131,-0.23928162978836331,2.551881813855e-311,-0.24967657137419955,0.0,0.0,0.24967657137419955
sad,rating_mean__sad,midi_note_onset_count_100ms,24816,-0.19958857325340926,2.3221650962664616e-221,-0.24310512265821418,0.0,0.0,0.24310512265821418
sad,rating_mean__sad,midi_velocity_mean,24131,-0.2305986534973254,1.1204563675489786e-288,-0.23139661864073793,1.017247750079961e-290,2.4159634064399072e-290,0.23139661864073793
sad,rating_mean__sad,midi_pitch_std,24131,0.20831466204102778,8.721131092411698e-235,0.19521480038984718,6.960539199516227e-206,1.4694471643423146e-205,0.19521480038984718
sad,rating_mean__sad,tap_count_100ms,24816,-0.09519209134847931,4.7352005637381776e-51,-0.11728625469598608,9.950982381658307e-77,1.8906866525150783e-76,0.11728625469598608
sad,rating_mean__sad,midi_pitch_max,24131,0.1262329195552028,2.7872880888901e-86,0.11008034889162696,6.145060373025603e-66,1.0614195189771497e-65,0.11008034889162696
sad,rating_mean__sad,audio100_zero_crossing_rate,24816,-0.06720981009424544,3.0093506968985856e-26,-0.10144081709014881,9.175797882894118e-58,1.4528346647915687e-57,0.10144081709014881
sad,rating_mean__sad,audio100_spectral_centroid_hz,24816,-0.008460521590613517,0.18261362489399705,-0.10000799453318189,3.46731948424636e-56,5.067620784667757e-56,0.10000799453318189
sad,rating_mean__sad,audio100_spectral_rolloff_hz,24816,0.007962208640791033,0.2097507937456288,-0.08492767786009893,5.863251829915865e-41,7.957270340600103e-41,0.08492767786009893
sad,rating_mean__sad,midi_pitch_mean,24131,-0.07116655192260257,1.7819003061757348e-28,-0.07092217141228511,2.7240379878834833e-28,3.4504481179857455e-28,0.07092217141228511
sad,rating_mean__sad,audio100_rms,24816,0.0794755573823144,4.563401814764997e-36,0.06495585350754807,1.2741382878643996e-24,1.5130392168389746e-24,0.06495585350754807
sad,rating_mean__sad,audio100_onset_strength_proxy,24816,0.00160277943596388,0.8006740822683264,-0.04707637306472933,1.1736311677202352e-13,1.3117054227461452e-13,0.04707637306472933
sad,rating_mean__sad,midi_velocity_max,24131,-0.04353459933999127,1.3276736040735895e-11,-0.039766302238841915,6.43116449435279e-10,6.788451410705723e-10,0.039766302238841915
sad,rating_mean__sad,audio100_spectral_bandwidth_hz,24816,0.024394984583822905,0.00012136944947209925,-0.02116061193412276,0.0008571240580591752,0.0008571240580591752,0.02116061193412276
calm,rating_mean__calm,midi_velocity_range,24131,0.2960482047767123,0.0,0.3107882829718483,0.0,0.0,0.3107882829718483
calm,rating_mean__calm,midi_active_note_count,24816,0.2995641386981868,0.0,0.30922386265234464,0.0,0.0,0.30922386265234464
calm,rating_mean__calm,midi_velocity_min,24131,-0.3116327165735728,0.0,-0.3071438468942165,0.0,0.0,0.3071438468942165
calm,rating_mean__calm,midi_velocity_std,24131,0.2484520298777299,0.0,0.2599120864880506,0.0,0.0,0.2599120864880506
calm,rating_mean__calm,midi_note_onset_count_100ms,24816,-0.19613060474444666,1.1147036716896325e-213,-0.2467962876235749,0.0,0.0,0.2467962876235749
calm,rating_mean__calm,midi_pitch_range,24131,0.24580263588260146,0.0,0.23663147418561659,2.6103260649447348e-304,8.26603253899166e-304,0.23663147418561659
calm,rating_mean__calm,midi_velocity_mean,24131,-0.22413579927722763,1.9941176366974826e-272,-0.2159484194295609,1.4310383649197087e-252,3.884246990496352e-252,0.2159484194295609
calm,rating_mean__calm,midi_pitch_min,24131,-0.19588874167304005,2.5421066221722e-207,-0.19981270541106935,8.503266159118615e-216,2.019525712790671e-215,0.19981270541106935
calm,rating_mean__calm,tap_count_100ms,24816,-0.11417107492710642,8.858581090959955e-73,-0.16484874903132196,1.0791272351176641e-150,2.2781574963595128e-150,0.16484874903132196
calm,rating_mean__calm,midi_pitch_std,24131,0.17203927565324875,1.1367421309633999e-159,0.15438295718308126,1.34651467242709e-128,2.558377877611471e-128,0.15438295718308126
calm,rating_mean__calm,midi_pitch_max,24131,0.10550092507450032,1.0973979607620435e-60,0.09264832945751886,3.7400725899004954e-47,6.460125382555402e-47,0.09264832945751886
calm,rating_mean__calm,audio100_zero_crossing_rate,24816,-0.04908250927793747,1.0236188004014091e-14,-0.09040901161880235,3.330668229441813e-46,5.273558029949538e-46,0.09040901161880235
calm,rating_mean__calm,audio100_spectral_rolloff_hz,24816,0.052534319919332426,1.22060387687682e-16,-0.07752061790185986,2.1576796508813002e-34,3.1535317974419002e-34,0.07752061790185986
