target,feature,n_tracks,pearson_r,pearson_p_approx,spearman_r,spearman_p_approx,abs_pearson_r
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_12,24,-0.1800172243362662,0.409404203807369,-0.268695652173913,0.2182038905898779,0.1800172243362662
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_14,24,-0.1786970011736887,0.4128477297519989,-0.1791304347826086,0.4117153210910758,0.1786970011736887
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_16,24,0.1755535739840462,0.4211154617272163,0.0434782608695652,0.8420731170128035,0.1755535739840462
istc_mean_max_unique_per_sec,spectral_spectentropy_Std,24,0.1702206218918259,0.4353621017163829,0.1930434782608695,0.376352794107798,0.1702206218918259
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_10,24,-0.1688345765341398,0.4391098603110676,-0.1252173913043478,0.5660908491034173,0.1688345765341398
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_36,24,-0.1606500339409241,0.4616145045687138,-0.108695652173913,0.6184092938642093,0.1606500339409241
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_10,24,-0.1571906353017493,0.4713169227820376,-0.1982608695652173,0.3635901164548878,0.1571906353017493
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_10,24,-0.1561642330764562,0.4742171150350651,-0.1669565217391304,0.4442174190732271,0.1561642330764562
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_9,24,-0.1554881830748894,0.4761326988810443,-0.2565217391304347,0.2397826274592663,0.1554881830748894
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_13,24,0.1552957485352178,0.4766787354396202,-0.017391304347826,0.9364782704864902,0.1552957485352178
istc_mean_max_unique_per_sec,simple_roughness_Mean,24,0.1527582458522583,0.4839109270983361,0.2330434782608695,0.2855478576430118,0.1527582458522583
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_23,24,0.1520180393199039,0.4860317645894167,0.24,0.2714113553376354,0.1520180393199039
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_9,24,0.1509432512537174,0.4891201727043632,0.0713043478260869,0.7438512525515355,0.1509432512537174
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_9,24,0.1496739746269161,0.4927810146016824,0.1808695652173912,0.4071901551045792,0.1496739746269161
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_5,24,-0.1444636765951509,0.5079611386725332,-0.1617391304347825,0.458583212170841,0.1444636765951509
istc_mean_max_unique_per_sec,spectral_irregularity_Std,24,0.142639285985522,0.5133338916785883,0.1695652173913043,0.4371319595064343,0.142639285985522
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_35,24,-0.1391266344945982,0.5237612258460189,-0.1130434782608695,0.6044371317424162,0.1391266344945982
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_16,24,0.1355662443747346,0.5344400296617837,-0.0234782608695652,0.9143202097895908,0.1355662443747346
istc_mean_max_unique_per_sec,rhythm_attack_time_Std,24,-0.1333214049029189,0.5412290873567632,-0.0443478260869565,0.8389573992179147,0.1333214049029189
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_39,24,-0.1274507140299641,0.559184961127017,-0.08,0.7139128905639482,0.1274507140299641
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_40,24,-0.1264559057979793,0.5622560555905973,-0.1295652173913043,0.5526844087315871,0.1264559057979793
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_7,24,0.1260882616768198,0.5633930760466808,-0.0078260869565217,0.9713910915717868,0.1260882616768198
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_5,24,-0.1253725224833812,0.5656098317957667,-0.2156521739130434,0.3230339421269172,0.1253725224833812
istc_mean_max_unique_per_sec,dynamics_rms_Mean,24,0.1245934123111972,0.5680276097108572,0.0939130434782608,0.6669311471713559,0.1245934123111972
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_5,24,0.1214131326345933,0.5779477792996728,0.157391304347826,0.4707510596985894,0.1214131326345933
istc_mean_max_unique_per_sec,dynamics_rms_Std,24,-0.1194737208256751,0.5840370773570038,-0.0913043478260869,0.6756480451651865,0.1194737208256751
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_1,24,-0.1189919881719977,0.5855542231044195,-0.2034782608695651,0.3511016736276888,0.1189919881719977
istc_mean_max_unique_per_sec,spectral_mfcc_Std_5,24,-0.1183287423014455,0.5876460067461861,-0.1182608695652173,0.5878602625931175,0.1183287423014455
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_8,24,-0.1158462264114127,0.5955060256736271,-0.1956521739130434,0.3699372573476288,0.1158462264114127
istc_mean_max_unique_per_sec,tonal_keyclarity_Mean,24,-0.1153648789082304,0.5970355780842591,-0.1026086956521739,0.6382034795727037,0.1153648789082304
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_11,24,-0.1152915170234884,0.5972688531164332,-0.0147826086956521,0.9459906779329732,0.1152915170234884
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_20,24,0.1140918620643057,0.6010893634463146,0.0860869565217391,0.6932119311828788,0.1140918620643057
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_26,24,0.112437394352069,0.6063763278868848,0.2643478260869565,0.2257444673776081,0.112437394352069
istc_mean_max_unique_per_sec,spectral_brightness_Mean,24,0.1118005668484069,0.6084168815184585,0.1678260869565217,0.4418483448886007,0.1118005668484069
istc_mean_max_unique_per_sec,spectral_mfcc_Std_12,24,0.1102703704336122,0.613332468927967,0.12,0.5823817337179396,0.1102703704336122
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_36,24,-0.1101792439115041,0.613625755126564,-0.0878260869565217,0.6873383895702085,0.1101792439115041
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_1,24,-0.1075451330853805,0.6221300875856728,-0.0139130434782608,0.9491632598266584,0.1075451330853805
istc_mean_max_unique_per_sec,spectral_ddmfcc_Mean_2,24,0.1075096302455587,0.6222450586068287,-0.0060869565217391,0.9777467425312856,0.1075096302455587
istc_mean_max_unique_per_sec,rhythm_attack_slope_Std,24,-0.1073310465423994,0.6228235168750279,-0.0304347826086956,0.8890790016989994,0.1073310465423994
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_38,24,-0.1063702943148085,0.6259395206224831,-0.108695652173913,0.6184092938642093,0.1063702943148085
istc_mean_max_unique_per_sec,spectral_rolloff85_Mean,24,0.1055428955032159,0.6286283866324673,0.1765217391304347,0.4185587299693635,0.1055428955032159
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_1,24,-0.1035713406475761,0.6350553472536847,-0.1017391304347825,0.6410528343306992,0.1035713406475761
istc_mean_max_unique_per_sec,spectral_mfcc_Std_13,24,0.1026131244848564,0.6381889809823944,0.0930434782608695,0.6698318597931143,0.1026131244848564
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_4,24,0.1011012757708569,0.6431463005309696,0.1356521739130434,0.5341810099940953,0.1011012757708569
istc_mean_max_unique_per_sec,spectral_dmfcc_Mean_12,24,-0.1005419842222747,0.644984254081143,-0.1008695652173913,0.6439074876615863,0.1005419842222747
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_30,24,-0.1004333228385639,0.6453415912419285,-0.1069565217391304,0.6240374125150085,0.1004333228385639
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_1,24,-0.0998616074999048,0.6472230467130908,-0.1365217391304347,0.5315634277285803,0.0998616074999048
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_2,24,0.0976887494745113,0.6543941987626881,0.0313043478260869,0.8859312088957257,0.0976887494745113
istc_mean_max_unique_per_sec,spectral_mfcc_Std_10,24,-0.0956242323331472,0.6612374792955384,-0.0156521739130434,0.942818952339765,0.0956242323331472
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_11,24,-0.0953920267557632,0.66200896179464,0.0434782608695652,0.8420731170128035,0.0953920267557632
istc_mean_max_unique_per_sec,spectral_mfcc_Mean_6,24,0.0947923843546245,0.6640028792465434,0.0121739130434782,0.9555107918393804,0.0947923843546245
istc_mean_max_unique_per_sec,spectral_roughness_Std,24,-0.091375189820564,0.6754107461960215,-0.0182608695652173,0.9333094143321444,0.091375189820564
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_19,24,-0.0905583351908737,0.678148911933342,-0.2095652173913043,0.3368798623939295,0.0905583351908737
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_34,24,-0.0904496871794717,0.6785134306915546,-0.0721739130434782,0.7408390575362593,0.0904496871794717
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_37,24,-0.0892711413389284,0.682472321192284,-0.08,0.7139128905639482,0.0892711413389284
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_32,24,-0.0878297100944816,0.6873261727209117,-0.0913043478260869,0.6756480451651865,0.0878297100944816
istc_mean_max_unique_per_sec,spectral_mfcc_Std_1,24,-0.0870788236009094,0.6898598255331991,-0.1313043478260869,0.5473657855891864,0.0870788236009094
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_40,24,-0.0854628525187786,0.6953242352262028,-0.0008695652173913,0.996820559374648,0.0854628525187786
istc_mean_max_unique_per_sec,spectral_flatness_Std,24,0.0843757656968686,0.6990091667076481,-0.0817391304347825,0.7079760089643403,0.0843757656968686
istc_mean_max_unique_per_sec,Mel_subband_amplitude_mean_39,24,-0.0818633983995853,0.7075524681416563,-0.0113043478260869,0.9586856415268848,0.0818633983995853
istc_mean_max_unique_per_sec,Mel_subband_amplitude_std_4,24,-0.0790958178694369,0.7170063875009149,0.017391304347826,0.9364782704864902,0.0790958178694369
istc_mean_max_unique_per_sec,spectral_flatness_Mean,24,0.0776308284420371,0.7220284351399169,0.0060869565217391,0.9777467425312856,0.0776308284420371
