emotion_term,target,feature,posterior_mean_beta,posterior_sd,posterior_p_beta_gt_0,posterior_p_direction,abs_posterior_mean_beta
calm,rating_mean__calm,audio100_spectral_rolloff_hz,0.062470014121345306,0.01645006694215951,0.99995,0.99995,0.062470014121345306
calm,rating_mean__calm,audio100_zero_crossing_rate,-0.02961499467930273,0.01030892189365243,0.00195,0.99805,0.02961499467930273
calm,rating_mean__calm,audio100_onset_strength_proxy,-0.020567728542809062,0.007622033693912575,0.00415,0.99585,0.020567728542809062
calm,rating_mean__calm,midi_velocity_mean,-0.08076478807361923,0.036610865562095876,0.01335,0.98665,0.08076478807361923
calm,rating_mean__calm,audio100_rms,0.024901012045098595,0.012401356250730734,0.9788,0.9788,0.024901012045098595
calm,rating_mean__calm,midi_pitch_mean,-0.04291912407553162,0.02616742860928339,0.0493,0.9507,0.04291912407553162
calm,rating_mean__calm,audio100_spectral_centroid_hz,0.04853942313704591,0.03362730763192535,0.92725,0.92725,0.04853942313704591
calm,rating_mean__calm,audio100_spectral_bandwidth_hz,0.013580163873817407,0.028578666814164922,0.68305,0.68305,0.013580163873817407
calm,rating_mean__calm,midi_pitch_min,0.14682795518839953,0.5497395847340462,0.6019,0.6019,0.14682795518839953
calm,rating_mean__calm,midi_velocity_range,0.1306025684344797,0.5390234095055403,0.59755,0.59755,0.1306025684344797
calm,rating_mean__calm,midi_pitch_range,-0.1552837103185496,0.6359633329430435,0.4035,0.5965,0.1552837103185496
calm,rating_mean__calm,midi_velocity_min,-0.06693909648158086,0.597369816414652,0.45295,0.54705,0.06693909648158086
calm,rating_mean__calm,midi_velocity_max,0.054889915845956316,0.5539518320230664,0.5416,0.5416,0.054889915845956316
calm,rating_mean__calm,midi_pitch_max,-0.03628991834625098,0.49738002049760976,0.47285,0.52715,0.03628991834625098
energetic,rating_mean__energetic,audio100_spectral_bandwidth_hz,-0.22296505251746218,0.027582017346876535,0.0,1.0,0.22296505251746218
energetic,rating_mean__energetic,midi_pitch_std,0.15898276993307128,0.03108379391834284,1.0,1.0,0.15898276993307128
energetic,rating_mean__energetic,midi_velocity_mean,-0.1406843108446047,0.03533410202736918,0.0,1.0,0.1406843108446047
energetic,rating_mean__energetic,tap_count_100ms,0.13346448479678213,0.006076755361077052,1.0,1.0,0.13346448479678213
energetic,rating_mean__energetic,midi_active_note_count,0.06558365361918517,0.012851412575079373,1.0,1.0,0.06558365361918517
energetic,rating_mean__energetic,audio100_onset_strength_proxy,-0.05533128335711714,0.007356223680097412,0.0,1.0,0.05533128335711714
energetic,rating_mean__energetic,midi_pitch_mean,0.07222648499532498,0.025254868413479473,0.998,0.998,0.07222648499532498
energetic,rating_mean__energetic,audio100_spectral_rolloff_hz,0.04434322375899675,0.015876389010947005,0.99765,0.99765,0.04434322375899675
energetic,rating_mean__energetic,midi_note_onset_count_100ms,-0.01702113464976677,0.007433358063703549,0.01205,0.98795,0.01702113464976677
energetic,rating_mean__energetic,midi_velocity_std,-0.03955073044802758,0.028080691914034,0.0791,0.9209,0.03955073044802758
energetic,rating_mean__energetic,audio100_spectral_centroid_hz,-0.011871593151630805,0.0324545923875218,0.35515,0.64485,0.011871593151630805
energetic,rating_mean__energetic,midi_velocity_max,0.13495164679772192,0.5346333731922448,0.60185,0.60185,0.13495164679772192
energetic,rating_mean__energetic,midi_velocity_min,0.09861869251214539,0.5765372032918896,0.5667,0.5667,0.09861869251214539
energetic,rating_mean__energetic,midi_pitch_max,-0.04975284881139283,0.4800344411641773,0.46025,0.53975,0.04975284881139283
energetic,rating_mean__energetic,midi_pitch_range,-0.04739965607119992,0.6137848135210502,0.4703,0.5297,0.04739965607119992
energetic,rating_mean__energetic,audio100_zero_crossing_rate,-0.000603673128772607,0.009949409618974388,0.4747,0.5253,0.000603673128772607
energetic,rating_mean__energetic,midi_velocity_range,0.029376532916511187,0.5202255629358257,0.5235,0.5235,0.029376532916511187
energetic,rating_mean__energetic,audio100_rms,-0.00044789009368126614,0.011968872636945843,0.48765,0.51235,0.00044789009368126614
energetic,rating_mean__energetic,midi_pitch_min,0.00984290235348966,0.530568023379023,0.5012,0.5012,0.00984290235348966
