target,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_spearman_rho
istc_mean_max_unique_per_sec,zero_crossing_rate_std,2880,0.017837024251591612,0.33861988120032716,0.05098237145231275,0.006207903356231102,0.05098237145231275
istc_mean_max_unique_per_sec,onset_strength_std,2880,0.023677267081345856,0.20398421621093363,0.03815965244113042,0.040587577551890665,0.03815965244113042
istc_mean_max_unique_per_sec,mtb_pitch_mean,2874,0.007933562685161762,0.6707363775029123,0.02099321660785832,0.2605574887852886,0.02099321660785832
istc_mean_max_unique_per_sec,mean_pitch,2874,0.007970029900846356,0.6693124450652634,0.020857594390639774,0.2636504757327831,0.020857594390639774
istc_mean_max_unique_per_sec,mtb_duration_std_s,2874,-0.13533380200723155,3.2026864669595304e-13,-0.020758869737445448,0.2659178417050592,0.020758869737445448
istc_mean_max_unique_per_sec,mir_brightness,2880,-0.04547510964225865,0.014660707938127336,-0.01642548467317085,0.3782308027106065,0.01642548467317085
istc_mean_max_unique_per_sec,mean_velocity,2874,0.017863964550551465,0.3383948818302806,0.012592765109018656,0.4997854031107546,0.012592765109018656
istc_mean_max_unique_per_sec,spectral_rolloff_hz_mean,2880,-0.05485770708434888,0.003230454186638795,-0.003533045214691413,0.8496841964584089,0.003533045214691413
optimizer_beat_density_per_s,mtb_duration_mean_s,2874,-0.1882356761512311,2.486720311554968e-24,-0.27964459602617026,8.74989089677037e-53,0.27964459602617026
optimizer_beat_density_per_s,mean_note_duration_s,2874,-0.1883955144914941,2.2716492547640966e-24,-0.27963880140661757,8.794358281641947e-53,0.27963880140661757
optimizer_beat_density_per_s,n_note_onsets,2880,0.24397154119673586,2.699516839431753e-40,0.2416633880590811,1.5127853626389112e-39,0.2416633880590811
optimizer_beat_density_per_s,mtb_n_note_onsets,2880,0.24406312845427314,2.5201269441374737e-40,0.241403639043558,1.8344816126005338e-39,0.241403639043558
optimizer_beat_density_per_s,mtb_approx_polyphony,2880,-0.2036539366835642,2.4403452680654746e-28,-0.2412609476499432,2.0392505307658456e-39,0.2412609476499432
optimizer_beat_density_per_s,approx_polyphony,2874,-0.20358637129861795,2.8915507839299607e-28,-0.24041846232905414,4.552165072327963e-39,0.24041846232905414
optimizer_beat_density_per_s,mtb_duration_std_s,2874,-0.16045843692841166,4.949935571223012e-18,-0.2381058353482422,2.4798937874660503e-38,0.2381058353482422
optimizer_beat_density_per_s,mtb_active_note_count,2880,0.18892533456161,1.5068493263002064e-24,0.19856711405874075,5.3805301033909655e-27,0.19856711405874075
optimizer_beat_density_per_s,active_note_count,2880,0.18846914802223394,1.952834470681848e-24,0.1980641539355886,7.272484798883028e-27,0.1980641539355886
optimizer_beat_density_per_s,mtb_ioi_mean_s,2809,-0.13849066122089965,1.677236213024719e-13,-0.18748370546771978,1.230026027713021e-23,0.18748370546771978
optimizer_beat_density_per_s,mean_midi_ioi_s,2809,-0.13823402128602558,1.8599670739018631e-13,-0.1871243652610007,1.4988727742884826e-23,0.1871243652610007
optimizer_beat_density_per_s,spectral_rolloff_hz_mean,2880,0.18372439087309472,2.784630201525236e-23,0.17887037263231698,3.9218316446692016e-22,0.17887037263231698
optimizer_beat_density_per_s,mtb_ioi_std_s,2809,-0.12541213849059646,2.5539461368728565e-11,-0.16908124987949896,1.840978831953096e-19,0.16908124987949896
optimizer_beat_density_per_s,mir_brightness,2880,0.1734451173054262,6.908372784033009e-21,0.16889225525600396,7.147106632852918e-20,0.16889225525600396
optimizer_beat_density_per_s,mtb_ioi_cv,2702,-0.1028799305325466,8.343910619362384e-08,-0.16869738837658396,1.0627488521656805e-18,0.16869738837658396
optimizer_beat_density_per_s,cv_midi_ioi,2702,-0.1033224937578463,7.337333609986416e-08,-0.16857002904754506,1.1289420205195374e-18,0.16857002904754506
optimizer_beat_density_per_s,zero_crossing_rate_mean,2880,0.158004519000613,1.4715894642145232e-17,0.13424180839202032,4.696364348849196e-13,0.13424180839202032
optimizer_beat_density_per_s,spectral_centroid_hz_mean,2880,0.11968417976268063,1.16895123780767e-10,0.10675471603267522,9.30192361173311e-09,0.10675471603267522
optimizer_beat_density_per_s,mir_centroid,2880,0.08503671337035446,4.880804830205093e-06,0.09833588546505741,1.238055480395153e-07,0.09833588546505741
optimizer_beat_density_per_s,mtb_pitch_std,2874,0.10094927893521947,5.848736086911393e-08,0.09198133968286137,7.835498741760572e-07,0.09198133968286137
optimizer_beat_density_per_s,mean_velocity,2874,0.08809871542375819,2.244199712421929e-06,0.09104220177563366,1.0146423494047276e-06,0.09104220177563366
optimizer_beat_density_per_s,mir_roughness,2880,0.05196285304271124,0.005282322761638949,0.08926041949935756,1.6048493552218727e-06,0.08926041949935756
optimizer_beat_density_per_s,std_pitch,2809,0.09290133296770495,8.128840976547569e-07,0.08443230798498098,7.432078007405626e-06,0.08443230798498098
optimizer_beat_density_per_s,spectral_bandwidth_hz_std,2880,-0.040409179423493743,0.03011850523210006,-0.06385369988084148,0.0006063436476761038,0.06385369988084148
optimizer_beat_density_per_s,rms_std,2880,-0.044338640470948654,0.017331514667008528,-0.05734572111222252,0.0020791154374329673,0.05734572111222252
optimizer_beat_density_per_s,zero_crossing_rate_std,2880,0.06391557425499869,0.0005989485555196485,0.05425743050240258,0.0035838665226682206,0.05425743050240258
optimizer_beat_density_per_s,onset_strength_std,2880,-0.044595254288453956,0.01669374902437138,-0.049685515195561566,0.00765557758775409,0.049685515195561566
optimizer_beat_density_per_s,spectral_bandwidth_hz_mean,2880,-0.02610693798789621,0.1613110370463703,-0.03903917257244354,0.03617535427254201,0.03903917257244354
optimizer_beat_density_per_s,spectral_rolloff_hz_std,2880,0.028183901847143478,0.1304955410486523,0.037691039266793167,0.04311915401615965,0.037691039266793167
optimizer_beat_density_per_s,mtb_pitch_mean,2874,-0.02625927351600806,0.15931412775518775,-0.03614208025496161,0.05270182319049266,0.03614208025496161
optimizer_beat_density_per_s,mean_pitch,2874,-0.026209127728131696,0.16011242706985485,-0.03610497574647423,0.05294541036348389,0.03610497574647423
optimizer_beat_density_per_s,mir_rms,2880,-0.030505909643073967,0.10167453881743481,-0.03500578684442288,0.060330868985438615,0.03500578684442288
optimizer_beat_density_per_s,rms_mean,2880,-0.026496549099996727,0.1551463787863001,-0.029821121768195912,0.10959183599118501,0.029821121768195912
optimizer_beat_density_per_s,onset_strength_mean,2880,0.03482676346178007,0.06165680170126952,0.023381313690985128,0.2096967537585314,0.023381313690985128
optimizer_beat_density_per_s,spectral_centroid_hz_std,2880,-0.0013924219797980478,0.940459135072655,-0.00022555344150009283,0.9903464600461557,0.00022555344150009283
optimizer_peak_coverage_70ms,spectral_centroid_hz_std,2777,0.05828749897167477,0.0021204597751482133,0.11708423671916897,6.072610016742703e-10,0.11708423671916897
optimizer_peak_coverage_70ms,mean_velocity,2771,-0.09437620260382587,6.462391091160901e-07,-0.1113638384837853,4.155772578322579e-09,0.1113638384837853
optimizer_peak_coverage_70ms,spectral_bandwidth_hz_std,2777,0.03854608277913267,0.042243554103768136,0.09345083564403678,8.090025531346963e-07,0.09345083564403678
optimizer_peak_coverage_70ms,spectral_rolloff_hz_std,2777,0.043084862647495885,0.023178124314327676,0.09264876281915764,1.0049915875698742e-06,0.09264876281915764
optimizer_peak_coverage_70ms,mir_centroid,2777,0.05772801387888017,0.002340176927999922,0.08425615277916912,8.749385475936836e-06,0.08425615277916912
optimizer_peak_coverage_70ms,mir_roughness,2777,-0.058450480463255974,0.002060107514687372,-0.08023233545271881,2.3065100007123852e-05,0.08023233545271881
optimizer_peak_coverage_70ms,std_pitch,2710,0.07959024466302504,3.354631460371688e-05,0.07786981650853272,4.949200904490205e-05,0.07786981650853272
optimizer_peak_coverage_70ms,mtb_pitch_std,2771,0.07947768052975311,2.8084497831078764e-05,0.07634297180342095,5.751656821062516e-05,0.07634297180342095
optimizer_peak_coverage_70ms,mtb_ioi_std_s,2710,0.07244066145282319,0.0001604505843756262,0.07555038132236414,8.257921893918148e-05,0.07555038132236414
optimizer_peak_coverage_70ms,spectral_bandwidth_hz_mean,2777,0.044517900630942145,0.018972148455260584,0.07382160106098301,9.87033985474897e-05,0.07382160106098301
