wtc_code,window_center_s,rms_mean,spectral_centroid_hz_mean,spectral_bandwidth_hz_mean,spectral_rolloff_hz_mean,zero_crossing_rate_mean,onset_strength_mean,n_note_onsets,istc_mean_max_unique_per_sec
wtc1p15,8.5,0.025679319387197357,1046.1633164544078,2090.401568306674,1470.6875,0.023269170660554284,0.0009617114131062377,11.75,5.0
wtc1p15,8.75,0.02422374716166163,1072.4732220050967,2159.921332836968,1486.75,0.02341503438216295,0.0009427448582565716,11.25,5.0
wtc1p15,9.0,0.025328526703100766,1065.1308476190172,2159.119348855182,1475.25,0.023444988539279017,0.001066834671015772,12.25,5.25
wtc1p15,9.25,0.027163196015422626,1050.4248229916311,2146.126992509618,1437.375,0.022785997082725568,0.0011163506207947285,11.5,6.5
wtc1p15,9.5,0.027162516823677603,1042.6702351349838,2150.133232655729,1421.0,0.022461710773077726,0.0011574434006883802,11.75,6.5
wtc1p15,9.75,0.0289816326896492,1024.024644240013,2095.521963903495,1412.125,0.02237184830172953,0.001310068091520066,12.5,6.75
wtc1p15,10.0,0.02831667633522812,1034.064223532688,2097.8516088655288,1431.8125,0.022459106063763286,0.0013883984837923338,12.0,6.75
wtc1p15,10.25,0.02635387978981703,1037.0638970532113,2096.513595671473,1447.875,0.02300349031048135,0.0013778320417684106,12.5,6.25
wtc1p15,10.5,0.026592639844142462,1029.1433536065165,2069.523122500753,1459.8125,0.022624505105230255,0.0014118968828134928,12.5,6.25
wtc1p15,10.75,0.02519955883790579,1023.2588796801856,2080.8108143652203,1445.0,0.02268962283809127,0.0013098434371735,11.75,6.5
wtc1p15,11.0,0.024831277457417023,1016.3803430774456,2087.125443948575,1421.3125,0.022711762867264014,0.0011433913206076902,12.25,6.0
wtc1p15,11.25,0.025654360213753814,1015.2925895808504,2099.148863073509,1402.625,0.022302823504896853,0.0011707553107235568,12.25,6.75
wtc1p15,11.5,0.02572198897384311,1036.2824491898066,2133.313038243862,1421.9375,0.02254506147113982,0.0013419474309213542,11.75,6.25
wtc1p15,11.75,0.02763880507182511,1060.0880042810213,2124.7471130935496,1473.6875,0.022900604292560953,0.001359446238396646,13.0,5.75
wtc1p15,12.0,0.027611701945213524,1093.2109099102872,2144.3471479438876,1529.25,0.023497082725567827,0.0012430523440593254,11.75,6.5
wtc1p15,12.25,0.028126245159210125,1114.5080221424212,2146.8079149937985,1577.75,0.024040164617628673,0.0013040947050220442,12.25,6.5
wtc1p15,12.5,0.031657754409327304,1107.996575414821,2032.8993705659516,1616.625,0.025170608460095854,0.001496790860214123,12.25,6.25
wtc1p15,12.75,0.03660295025714066,1099.8409843587588,1919.228774189693,1640.6875,0.02577620337570327,0.0018526937387317653,12.0,6.25
wtc1p15,13.0,0.04508867668576941,1096.395910785886,1803.4170932787354,1686.5,0.02601713898728902,0.002413581152409826,12.0,6.5
wtc1p15,13.25,0.05327257360610713,1088.2246915153041,1695.956881471021,1707.6875,0.02628672640133361,0.0025398426317416356,11.75,6.75
wtc1p15,13.5,0.05558308400456539,1089.2214363342569,1708.82566348962,1703.0,0.025474057095228174,0.0021539112915938863,11.75,7.0
